Training Step,Bellman Error
0,0.1838062852621078
1,0.2162697315216064
2,0.1836736649274826
3,0.1620065718889236
4,0.151551216840744
5,0.1391002684831619
6,0.1385835260152816
7,0.1072579771280288
8,0.168576031923294
9,0.1720150113105774
10,0.1266721189022064
11,0.1256636530160904
12,0.1319663524627685
13,0.1234476864337921
14,0.0837884321808815
15,0.0724096074700355
16,0.1181696653366088
17,0.1564609706401825
18,0.1736852526664734
19,0.1435069441795349
20,0.0992778688669204
21,0.1022378653287887
22,0.160395860671997
23,0.0806879550218582
24,0.1522373408079147
25,0.0879133194684982
26,0.1520845890045166
27,0.112841784954071
28,0.0800417214632034
29,0.1620098650455474
30,0.1069476455450058
31,0.1362919360399246
32,0.0985879600048065
33,0.1638803035020828
34,0.1506057381629943
35,0.0801452472805976
36,0.0856499448418617
37,0.159549593925476
38,0.1291948407888412
39,0.1813498437404632
40,0.1504311859607696
41,0.0937013775110244
42,0.1759874373674392
43,0.1002906486392021
44,0.135624811053276
45,0.0620494447648525
46,0.1038899794220924
47,0.1178879961371421
48,0.1956480145454406
49,0.125287652015686
50,0.0744161084294319
51,0.1454737484455108
52,0.0512905903160572
53,0.0567884743213653
54,0.0644502788782119
55,0.0555694960057735
56,0.0701275840401649
57,0.0869715809822082
58,0.1188631951808929
59,0.1010470539331436
60,0.1184122413396835
61,0.0503989309072494
62,0.050366498529911
63,0.0940805524587631
64,0.0359084866940975
65,0.1106536984443664
66,0.083076000213623
67,0.0623069182038307
68,0.068073570728302
69,0.0514762550592422
70,0.0213261246681213
71,0.0455112010240554
72,0.0524066537618637
73,0.0353625006973743
74,0.0486044436693191
75,0.0213560815900564
76,0.0241204239428043
77,0.0215072873979806
78,0.0422210656106472
79,0.0398523844778537
80,0.0339320488274097
81,0.0125966574996709
82,0.0575530230998992
83,0.0433377474546432
84,0.027605066075921
85,0.0149851012974977
86,0.0365468971431255
87,0.0217301920056343
88,0.0227368436753749
89,0.0082059111446142
90,0.025742495432496
91,0.0136775057762861
92,0.0193399190902709
93,0.0358384922146797
94,0.0110612865537405
95,0.0126904379576444
96,0.0170425679534673
97,0.0193641260266304
98,0.0067647667601704
99,0.0453734993934631
100,0.0152750927954912
101,0.0318454466760158
102,0.021394545212388
103,0.0102845849469304
104,0.021356401965022
105,0.0093781668692827
106,0.0123717803508043
107,0.0122036235406994
108,0.0110230511054396
109,0.0061384327709674
110,0.0053586717694997
111,0.0048015546053647
