Training Step,Bellman Error
0,0.1932356506586074
1,0.2667124271392822
2,0.2024676650762558
3,0.2131962776184082
4,0.2089662849903106
5,0.209804505109787
6,0.23561692237854
7,0.1636297553777694
8,0.1791068017482757
9,0.1710205525159835
10,0.2064513117074966
11,0.1871473938226699
12,0.1623198091983795
13,0.1921626478433609
14,0.2506271302700043
15,0.2387411296367645
16,0.1819827556610107
17,0.3038878142833709
18,0.1460828185081482
19,0.2582409977912903
20,0.21135875582695
21,0.1727903932332992
22,0.1525149345397949
23,0.1172985136508941
24,0.2281322032213211
25,0.2484068274497985
26,0.3298253715038299
27,0.316283643245697
28,0.1286824941635131
29,0.2066099345684051
30,0.1840859353542328
31,0.1469660848379135
32,0.4003953337669372
33,0.2522493004798889
34,0.2853710651397705
35,0.1699049621820449
36,0.1796032488346099
37,0.2097465991973877
38,0.2147679328918457
39,0.1299649029970169
40,0.1299282312393188
41,0.2574858069419861
42,0.1542647182941436
43,0.1846051812171936
44,0.169535145163536
45,0.1171582862734794
46,0.1295299232006073
47,0.0924009010195732
48,0.155726820230484
49,0.1666394770145416
50,0.133386418223381
51,0.1198352500796318
52,0.150163471698761
53,0.0917629450559616
54,0.1031937450170517
55,0.129744678735733
56,0.0741848424077034
57,0.0885885879397392
58,0.0565648823976516
59,0.033910397440195
60,0.104525938630104
61,0.0406955145299434
62,0.0628134906291961
63,0.04622233659029
64,0.0504468940198421
65,0.0607211515307426
66,0.0195838063955307
67,0.0173639301210641
68,0.0264800582081079
69,0.0199709832668304
70,0.0192203950136899
71,0.0303563494235277
72,0.0482777282595634
73,0.0323690772056579
74,0.0416152067482471
75,0.0243362504988908
76,0.0215534903109073
77,0.020008809864521
78,0.0069435480982065
79,0.0317107997834682
80,0.0500429272651672
81,0.0548914149403572
82,0.0251259133219718
83,0.0270124860107898
84,0.0274311527609825
85,0.0242648292332887
86,0.0058474466204643
87,0.0135766062885522
88,0.0432444624602794
89,0.0566632822155952
90,0.0136944707483053
91,0.0282436981797218
92,0.0265702009201049
93,0.021433051675558
94,0.0195226799696683
95,0.0243687089532613
96,0.0431679487228393
97,0.0484442487359046
98,0.029786679893732
99,0.02693179436028
100,0.0293488092720508
101,0.0365291461348533
102,0.0147240730002522
103,0.0066670919768512
104,0.026722352951765
105,0.0478605031967163
