Training Step,Bellman Error
0,0.3083621263504028
1,0.1031582802534103
2,0.0910642892122268
3,0.1130062788724899
4,0.1148888245224952
5,0.1214679181575775
6,0.0804762914776802
7,0.1062260940670967
8,0.1179559081792831
9,0.1279387921094894
10,0.111353114247322
11,0.0667228251695633
12,0.0944544151425361
13,0.0704040080308914
14,0.0662780404090881
15,0.0723497867584228
16,0.0870533064007759
17,0.1047350466251373
18,0.1021387502551078
19,0.0841122567653656
20,0.0589212365448474
21,0.093631312251091
22,0.0593923106789588
23,0.0437881350517272
24,0.0818653255701065
25,0.0807530879974365
26,0.0754452496767044
27,0.066055953502655
28,0.0498344525694847
29,0.0729734078049659
30,0.0548868030309677
31,0.0725906044244766
32,0.0376398041844368
33,0.0684510022401809
34,0.0508104413747787
35,0.0509056225419044
36,0.0419597476720809
37,0.0427062176167964
38,0.0443779937922954
39,0.0567009001970291
40,0.0418156385421752
41,0.0889794528484344
42,0.00987409055233
43,0.0713767185807228
44,0.0297080501914024
45,0.0284923538565635
46,0.0168109368532896
47,0.0242279432713985
48,0.0456208363175392
49,0.0231985729187726
50,0.0380157344043254
51,0.0720096677541732
52,0.0407493002712726
53,0.0202885922044515
54,0.0411742031574249
55,0.0158299356698989
56,0.0149218961596488
57,0.0115857832133769
58,0.0248475559055805
59,0.032202161848545
60,0.0339478701353073
61,0.0154501693323254
62,0.0251632798463106
63,0.0124369617551565
64,0.015979241579771
65,0.0308834873139858
66,0.0153952147811651
67,0.0130645427852869
68,0.0092640863731503
69,0.0047671310603618
70,0.0193780809640884
71,0.0085008079186081
72,0.0195317864418029
73,0.0224769674241542
74,0.0235638320446014
75,0.0158641338348388
76,0.0102179320529103
77,0.0116727296262979
78,0.0051755523309111
79,0.0194697454571723
80,0.016468122601509
81,0.0136834932491183
82,0.0245426334440708
83,0.0125648509711027
84,0.0074331029318273
85,0.0060905111022293
86,0.0076863351278007
87,0.0134551189839839
88,0.008828829973936
89,0.0162738896906375
90,0.0172857120633125
91,0.010926503688097
92,0.0068065416999161
93,0.0051846615970134
94,0.0111120045185089
95,0.004671337082982
96,0.0097330585122108
97,0.0090686101466417
98,0.0147287677973508
99,0.0074208895675837
100,0.0101306494325399
101,0.0052941078320145
102,0.0124610885977745
103,0.0030320463702082
104,0.0087414355948567
105,0.0067443642765283
106,0.0078076822683215
107,0.0092587824910879
108,0.0042433394119143
109,0.0029954011552035
110,0.0064493371173739
111,0.0044994438067078
112,0.008834283798933
113,0.0049595842137932
114,0.0061134099960327
115,0.0038302764296531
116,0.0020805825479328
117,0.0031481629703193
118,0.0046586855314671
119,0.0039150048978626
120,0.0048436862416565
121,0.0028041456826031
122,0.0021055859979242
123,0.0019143460085615
124,0.0013848934322595
125,0.0017591239884495
126,0.0016701497370377
127,0.0016325791366398
128,0.0008053260971792
129,0.0008733245776966
130,0.0008514139917679
131,0.0007249559857882
132,0.0004803037736564
133,0.0008618935244157
134,0.0005568432970903
135,0.0003971142577938
136,0.0011935805669054
137,0.0005568944034166
138,0.0007301393197849
139,0.0004912738222628
140,0.000532321690116
141,0.0005122639122419
142,0.0006048906361684
143,0.0006075144046917
144,0.0010502464137971
145,0.0011588695924729
146,0.000977991730906
147,0.0004433321300894
148,0.00034537378815
149,0.0004089121357537
150,0.0004047492984682
151,0.0004545526462607
152,0.0006111788097769
153,0.0005126211326569
154,0.0002887412265408
155,0.0003119780158158
156,0.0003093962732236
157,0.0002761469222605
158,0.000124544269056
159,0.0002087492903228
160,0.0002645423810463
161,0.0002781259827315
162,0.0001409936521667
163,9.291545575251804e-05
164,0.0001098850189009
165,0.0001421849156031
166,2.922255953308195e-05
167,0.0001946160336956
168,0.0002208464720752
169,5.3125979320611805e-05
170,0.0001082276867236
171,0.0001423299399903
172,0.00010082598601
173,5.929482722422108e-05
174,5.6438875617459416e-05
175,8.540647831978276e-05
176,0.000211100312299
177,0.0001102148962672
178,7.553808973170817e-05
179,6.986028893152252e-05
180,6.966125511098653e-05
181,6.237037450773641e-05
182,7.210596959339455e-05
183,5.269725079415366e-05
184,9.319730452261864e-05
185,7.088885467965156e-05
186,5.264102583169006e-05
187,3.814464798779227e-05
188,4.372319745016284e-05
189,2.3131738998927176e-05
190,1.1818617167591585e-05
191,1.3762372873316052e-05
192,3.259629738749936e-05
193,3.4130724088754505e-05
194,1.816790245356969e-05
195,1.819123281165957e-05
196,1.8289534637006e-05
197,1.595785579411313e-05
198,1.33552885017707e-05
199,1.4528562132909428e-05
200,3.341384945088066e-05
201,2.596905687823892e-05
202,1.6170837625395507e-05
203,1.7072805349016562e-05
204,1.828842505346984e-05
205,1.5100578821147792e-05
206,1.360370879410766e-05
207,1.5000487110228278e-05
208,2.4680564820300788e-05
209,2.0091003534616902e-05
210,1.0595578714855948e-05
211,1.060515296558151e-05
212,2.0252417016308755e-05
213,1.3716389730689116e-05
214,1.2901007721666248e-05
215,8.356637408724055e-06
216,2.393774411757477e-05
217,2.111125832016114e-05
218,1.1194960279681254e-05
219,1.7888143702293746e-05
220,2.3814180167391896e-05
221,2.0002995370305143e-05
222,5.593306468654191e-06
223,5.624279765470419e-06
224,9.298042641603388e-06
225,7.306374300242169e-06
226,5.815995791635942e-06
227,4.474276465771254e-06
228,3.78257391275838e-06
229,4.579625965561718e-06
230,3.284899321442936e-06
231,4.754538167617284e-06
232,8.868300938047469e-06
233,1.3945451428298838e-05
234,7.2303346314583905e-06
235,6.171463155624224e-06
236,1.0388186638010666e-05
237,8.832226740196347e-06
238,7.572509730380261e-06
239,7.81203925726004e-06
240,1.426855396857718e-05
241,1.3760527508566156e-05
242,7.262818144226912e-06
243,5.06612150275032e-06
244,5.449866421258776e-06
245,2.522104750823928e-06
246,2.724924343056045e-06
247,1.2869965075879009e-06
248,4.393414656078676e-06
249,2.905293513322249e-06
250,2.779711849143496e-06
251,3.2408152037533e-06
252,3.594866029743571e-06
253,5.1147853810107335e-06
254,4.647848982131109e-06
255,3.942710463888943e-06
256,1.3754967767454218e-05
257,8.799056558927987e-06
258,6.580050012416905e-06
259,6.0298243624856696e-06
260,4.343079126556404e-06
261,2.7128942292620195e-06
262,2.0844324808422243e-06
263,2.7159819637745386e-06
264,2.477753241691971e-06
265,3.4236011288157897e-06
266,1.343792519037379e-06
267,1.155555992227164e-06
268,1.0831402050826e-06
269,1.9199762846255908e-06
270,1.6201734069909437e-06
271,1.4108995856076945e-06
272,2.3279499146156013e-06
273,2.664990006451262e-06
274,2.0043655695189955e-06
275,1.4790657587582243e-06
276,1.317263240707689e-06
277,1.5703660665167265e-06
278,2.103202632497414e-06
279,2.2632079890172463e-06
280,3.711345925694332e-06
281,2.3424208848155104e-06
282,2.043288532149745e-06
283,2.047265070359572e-06
284,7.838575584173668e-07
285,8.9128383251591e-07
286,9.994230367738055e-07
287,7.195549187599681e-07
288,1.1715552545865648e-06
289,1.0068363280879566e-06
290,8.499921477778116e-07
291,4.145616685491405e-07
292,7.899728302618314e-07
293,8.939790063777764e-07
294,5.146228545527265e-07
295,6.575302222699975e-07
296,1.1765041563194243e-06
297,9.856157703325152e-07
298,8.434986966676661e-07
299,6.695688625768526e-07
300,6.021651870469213e-07
301,6.572516326741606e-07
302,6.411285085050622e-07
303,5.209960249885626e-07
304,1.3401671594692743e-06
305,1.1685669960570522e-06
306,8.994392715067079e-07
307,2.931432447894622e-07
308,4.791607466358982e-07
309,3.501099854474887e-07
310,3.522822282775451e-07
311,3.65118495437855e-07
312,5.668052835972048e-07
313,4.4141597754787654e-07
314,3.655167688521033e-07
315,4.618057971583768e-07
316,3.052614658827224e-07
317,2.451835143801873e-07
318,2.494923592166743e-07
319,2.47204098968723e-07
320,5.056670033809496e-07
321,5.855150106981455e-07
322,4.90842580802564e-07
323,4.247515903443855e-07
324,2.2784912800943857e-07
325,2.0289382973714964e-07
326,2.2069606586683221e-07
327,3.071883440952661e-07
328,3.9554632280669466e-07
329,5.417417696662596e-07
330,3.456260628809105e-07
331,2.1222658119768322e-07
332,2.7121484436065657e-07
333,1.5817748533208944e-07
334,1.1418580214694884e-07
335,1.1365960261855437e-07
336,4.036637051285652e-07
337,1.9299332620903442e-07
338,1.9282417440535937e-07
339,3.276609277236276e-07
340,7.65350876008597e-08
341,1.4047245144865888e-07
342,2.6964107746607624e-07
343,1.1364257090917825e-07
344,3.792770257859957e-07
345,2.6129657726414734e-07
346,1.5284551579952677e-07
347,1.2922987480123993e-07
348,2.029832870675819e-07
349,1.21813229725376e-07
350,1.4306198181657237e-07
351,1.2151365069712486e-07
352,2.135419947535411e-07
353,1.0941361949790009e-07
354,1.1066683924809701e-07
355,1.4236420042834652e-07
356,2.044483267127362e-07
357,7.30039744212263e-08
358,7.820077740916531e-08
359,6.276295039242541e-08
360,8.677534424350598e-08
361,1.0443107356650216e-07
362,1.311249775426404e-07
363,7.160237203152064e-08
364,1.2936290261222896e-07
365,7.649185818081605e-08
366,1.973481715822345e-07
367,6.709097277735054e-08
368,1.37134165356656e-07
369,7.270489277289016e-08
370,1.4037280493539586e-07
371,1.031555285635477e-07
372,1.910849931618941e-07
373,3.240654677938437e-08
374,4.196407843437555e-08
375,2.307544377799786e-08
376,5.80335743904925e-08
377,5.593020446781338e-08
378,2.8721114375684923e-08
379,2.8009434771547603e-08
380,3.413243376826358e-08
381,3.378092827688306e-08
382,2.7447121908608096e-08
383,2.3319199016214043e-08
384,4.561471200759115e-08
385,4.742145875979986e-08
386,4.286915356033205e-08
387,1.268417975097691e-07
388,1.1163186286466953e-07
389,2.5344636611635e-08
390,2.2086128481646483e-08
391,2.209309535317061e-08
392,2.287321976268685e-08
393,1.6713357808839646e-08
394,1.4207134135801882e-08
395,1.0391858040748048e-08
396,1.9249839056101337e-07
397,1.0035579478540058e-08
398,2.0764227670611035e-08
399,2.88966290895587e-08
400,1.470190547081529e-08
401,1.4643108947609562e-08
402,1.3442591040302432e-08
403,1.6438329808465824e-08
404,1.1784131004333176e-08
405,6.657661799636116e-08
406,1.0435386776919133e-08
407,2.409082000554008e-08
408,5.077486875393333e-08
409,5.5302734836004674e-08
410,4.323716495946428e-08
411,9.533832923125376e-08
412,2.2333853877398724e-08
413,1.4041718898738509e-08
414,1.5075269033104632e-08
415,1.4248965563012916e-08
416,1.215219356254238e-07
417,1.365054913549102e-07
418,1.9914750737370928e-07
419,1.0655551818672393e-07
420,7.480780084279105e-08
421,2.7961197801573693e-08
422,5.9476221281329344e-08
423,6.228837889921125e-08
424,1.242297571479867e-07
425,9.629544450717733e-08
426,1.580160926550889e-07
427,7.641047261586209e-08
428,1.6183361140065244e-07
429,8.265661222139897e-08
430,3.8481740460838416e-08
431,4.788621765783319e-08
432,2.386006947574516e-08
433,2.9587024386046323e-08
434,4.699886346770654e-08
435,8.175063470616807e-08
436,4.27099919875218e-08
437,2.150165556713545e-08
438,6.15971984530006e-08
439,1.6835773664070075e-08
440,4.0348123064859465e-08
441,2.5730525265998952e-08
442,1.6870860264361912e-08
443,1.0539984884871956e-08
444,1.4594815134216788e-08
445,3.271706816576625e-08
446,2.5116090540677763e-08
447,3.5556581678974914e-08
448,4.040324341758605e-08
449,1.4330751696434165e-08
450,1.6620171905401552e-08
451,2.0519570043120442e-08
452,7.281093061806132e-09
453,9.565416903001278e-09
454,2.6910051076356467e-08
455,2.5201590148071773e-08
456,4.9915247046783406e-08
457,1.4133282100203814e-08
458,2.2416188016904925e-08
459,1.3854235092480849e-08
460,5.545512493654314e-08
461,2.757310468837204e-08
462,2.3138969851288493e-08
463,1.4409518911406849e-08
464,1.3603788318050649e-08
465,1.1158937773814161e-08
466,6.09433499221268e-08
467,5.3628546936579375e-08
468,6.863103862997377e-08
469,1.039149566395281e-07
470,8.866959610998038e-09
471,9.128092948174071e-09
472,6.55400853588617e-08
473,4.0012906765696243e-08
474,1.7520489947742135e-08
475,1.8289515679725813e-08
476,1.6579306816311146e-08
477,4.388621022144434e-09
478,7.945684998844627e-09
479,1.4078270993422848e-08
480,6.322931511704155e-09
481,6.539803365512853e-09
482,3.046530494543731e-08
483,1.8298489834478463e-08
484,2.854446279343392e-08
485,7.569477489255405e-09
486,1.4143076043637848e-08
487,1.64758393594866e-08
488,2.5937637815331985e-08
489,1.5838811151525082e-08
490,2.398806486780813e-08
491,3.6146652337976085e-09
492,5.134758396252437e-09
493,1.2722487952032681e-08
494,9.107346876646716e-09
495,1.9926718053397973e-08
496,4.0355224939503393e-08
497,3.1026168301195867e-08
498,2.3915227131965373e-08
499,1.6844071026866914e-08
500,1.213698830326848e-08
501,1.4938066783543036e-08
502,3.180215202291947e-08
503,4.525874341965164e-09
504,1.7992011436263056e-08
505,2.6499673566604546e-08
506,2.2537411936696123e-08
507,2.0753097018655363e-08
508,2.428953038702275e-08
509,1.09563460526374e-08
510,1.8122831235700687e-08
511,5.285156312595518e-09
512,1.0044264087127884e-08
513,5.123028667952667e-09
514,5.303526506850176e-09
515,5.2510347181566885e-09
516,9.202039130684625e-09
517,1.7419576892052646e-08
518,1.697315354931561e-08
519,3.3921178754781074e-08
520,1.3388875785835808e-08
521,1.5014521181910823e-08
522,2.2156221746172378e-08
523,1.1411497524704828e-08
524,2.496689077702285e-08
525,4.492960670177126e-09
526,1.8088154973838755e-08
527,1.3024090250723931e-08
528,1.4252970359507344e-08
529,3.0008362017497354e-08
530,2.584401848082507e-08
531,6.080506764760685e-09
532,1.062361221215724e-08
533,1.2850849273604581e-08
534,1.0345650558463149e-08
535,7.582250383109113e-09
536,6.6802314790948e-09
537,4.46596626346718e-09
538,1.6106046274444452e-08
539,4.687077836962317e-09
540,1.96911962291324e-08
541,3.553599414729547e-09
542,1.6968854765764263e-08
543,4.464642433532617e-09
544,8.27171131589921e-09
545,4.360976468831268e-09
546,8.242924565138311e-09
547,8.809090346062476e-09
548,7.675925672856465e-09
549,5.599375185738609e-09
550,1.445177977288381e-09
551,4.363330141643473e-09
552,2.406961385759132e-08
553,1.9087986302679383e-08
554,1.3367889906135131e-08
555,5.2545856554786505e-09
556,1.4708557927178845e-08
557,1.3643074225910825e-08
558,2.0793624599946283e-08
559,1.5239560724467083e-08
560,1.672643712424815e-08
561,5.074811237903987e-09
562,7.165663618025064e-09
563,8.796483541573252e-09
564,1.212348976764588e-08
565,1.3041693947002386e-08
566,1.997618426230474e-08
567,7.994952255785392e-09
568,2.5587562291207178e-08
569,8.263289608123614e-09
570,1.1458508808459555e-08
571,8.143803853499776e-09
572,2.497033335657761e-08
573,5.180641693414145e-09
574,1.8892880149223856e-08
575,1.5635292172078152e-08
576,3.4547667837614426e-08
577,3.4993298925201095e-08
578,2.1718401299608562e-08
579,2.3767338319657938e-08
580,3.10448982077105e-08
581,2.369985452332912e-08
582,3.943521509341963e-09
583,3.862071551452573e-09
584,1.1040611980206453e-08
585,2.5103126688463817e-08
586,2.0874672657100746e-08
587,2.692822320682353e-08
588,2.0486957907905893e-08
589,5.6483795418671454e-08
590,3.5838198186866066e-08
591,1.5558059729414708e-08
592,1.4305531870206778e-08
593,1.5651167473151872e-08
594,2.5958259541880583e-08
595,2.0309709469756854e-08
596,3.85579781436718e-08
597,2.0716758086791746e-08
598,2.2849594216722835e-08
599,3.2700433472143686e-09
600,1.336683119745885e-08
601,1.3314101821038092e-08
602,1.1478439532197626e-08
603,9.85389281282778e-09
604,1.6963845439477154e-08
605,1.537770444315356e-08
606,2.8094444104453945e-08
607,1.5119795193641042e-08
608,1.2874554755626376e-08
609,1.8029329140745176e-08
610,2.27024443688606e-08
611,1.4850147778133762e-08
612,1.9188203026487827e-08
613,9.64902291400449e-09
614,3.2691701790099614e-08
615,3.265362025217655e-08
616,4.93623701913748e-08
617,1.553169148849065e-08
618,2.8945715158101848e-08
619,2.1704138930545014e-08
620,2.1748558509671057e-08
621,6.095392635074859e-09
622,1.5020354737771413e-08
623,3.1881931761290616e-08
624,4.467828063070557e-08
625,2.54164298496562e-08
626,5.821843274134154e-08
627,3.5433789236094526e-08
628,4.137786291380508e-08
629,1.424347306766549e-08
630,9.473573037155349e-09
631,1.141963235085086e-08
632,1.1683889056257613e-07
633,8.43686365215035e-08
634,5.7599415015374695e-08
635,4.9677971958317364e-08
636,3.315944496762313e-08
637,2.0647824783281976e-08
638,2.8742981328377937e-08
639,9.362551622871253e-09
640,7.67784200661481e-08
641,3.253071056974477e-08
642,6.851309564126495e-08
643,9.86506023537004e-08
644,4.018087906842993e-08
645,1.7157780973775516e-08
646,2.4096719286603733e-08
647,3.29644649355032e-08
648,1.2153790862612368e-07
649,4.7831932192821134e-08
650,6.384505013556918e-08
651,4.343208104273799e-08
652,5.679068593167359e-08
653,3.559602390623695e-08
654,1.664285065317017e-08
655,1.6309744665932158e-08
656,5.194263152930034e-08
657,3.4821162842035847e-08
658,7.21384338930875e-08
659,3.165729367538006e-08
660,4.857197666296997e-08
661,3.5157768252247485e-08
662,3.5400255171680335e-08
663,4.312102319659061e-08
664,2.5893177379998643e-08
665,1.886700431441568e-07
666,9.081178120595724e-08
667,2.938201149049746e-08
668,5.1769976749938e-08
669,2.672810239801037e-08
670,2.4526517705680817e-08
671,1.6613860509551163e-08
672,3.106430312982411e-08
673,1.9043538301843923e-08
674,3.2648014069991405e-08
675,2.2654930376120322e-08
676,2.4323668412762345e-08
677,2.2215342454501297e-08
678,2.039335988968105e-08
679,1.0370047931473891e-08
680,6.689374032475828e-08
681,3.702517403780804e-08
682,2.2150771883389098e-08
683,1.770188617911117e-08
684,2.9649221744421084e-08
685,3.3684557365631924e-08
686,2.0629908448199785e-08
687,1.3266888032603674e-08
688,1.3908319829170068e-08
689,2.095650231126456e-08
690,1.1098356900163252e-08
691,1.27085080237066e-08
692,1.2755758227456226e-08
693,4.30290221231644e-08
694,2.5000826298082763e-08
695,1.863023868509117e-08
696,4.31689386459766e-08
697,5.523380153249492e-08
698,4.863802871568623e-08
699,4.32583107112805e-08
700,3.418281480094265e-08
701,2.1868491018040004e-08
702,6.1373208737336435e-09
703,1.654315795462935e-08
704,8.77785026887068e-08
705,4.7668347491480745e-08
706,4.85848588027693e-08
707,4.774575046440077e-08
708,4.441992018655584e-08
709,1.7766669913044097e-08
710,2.6316627099731704e-08
711,2.0693292412943265e-08
712,5.00330941122229e-08
713,5.74534801955906e-08
714,6.174070676934207e-08
715,1.136595102479987e-07
716,2.36670629760738e-08
717,1.791259052197347e-08
718,2.844562985160337e-08
719,4.677495013538646e-08
720,2.8373492000355327e-08
721,1.9645302273829657e-08
722,3.748080956711419e-08
723,3.313888896627759e-08
724,3.0706061693308584e-08
725,4.264468600467809e-08
726,4.4641861762784174e-08
727,2.2594239368345373e-08
728,3.109125046307781e-08
729,3.0343265677856834e-08
730,2.5838263084665414e-08
731,7.287631831331964e-08
732,5.675168068819404e-08
733,2.7749026187962045e-08
734,1.9960257446882682e-08
735,2.903443174773201e-08
736,4.180118295948888e-08
737,5.7571924116928144e-08
738,4.5763233202933407e-08
739,2.8578291733083464e-08
740,3.1773698339065965e-08
741,1.669415361504889e-08
742,2.6190352997446098e-08
743,1.7465872304001095e-08
744,5.782087342254274e-08
745,3.488405653229165e-08
746,3.766477618682984e-08
747,6.235237037799379e-08
748,2.9236293386247784e-08
749,1.4501031486702232e-08
750,1.2618175837530998e-08
751,4.8772740512959e-08
752,9.330275929642085e-08
753,5.841944528128806e-08
754,6.845011313316719e-08
755,2.6822023713179988e-08
756,2.69109001749257e-08
757,6.34045846936715e-08
758,3.730150410774513e-08
759,1.4027484951384396e-08
760,6.380911088399446e-08
761,8.401325146678573e-08
762,5.2417547635741364e-08
763,5.8314107320711634e-08
764,2.93822566277413e-08
765,5.10724547098107e-08
766,6.416194509029084e-08
767,1.988983733269833e-08
768,2.9644793286820466e-08
769,4.300743228213833e-08
770,2.5794161473413624e-08
771,8.194312783871285e-08
772,8.506602000579735e-08
773,2.7371321209557212e-08
774,3.5302250012136944e-08
775,2.5141030590702943e-08
776,4.8277467357138455e-08
777,8.034383824906399e-08
778,4.812525133957024e-08
779,9.91088278112784e-09
780,6.144245645600678e-08
781,2.2564385915302413e-08
782,1.5279326248673897e-08
783,2.3007750371562e-08
784,3.747912913354412e-08
785,2.2892084672321292e-08
786,2.3980184948868555e-08
787,1.3209001892278138e-08
788,2.270853372010606e-08
789,1.2782293445923187e-08
790,9.087025354403977e-09
791,1.3419471756037638e-08
792,3.402459824997095e-08
793,4.707361611622218e-08
794,3.691843275532848e-08
795,1.849770114858984e-08
796,2.4788729291458367e-08
797,1.810681560243665e-08
798,1.521749837252173e-08
799,1.599545740305075e-08
800,6.172508904001006e-08
801,4.3977898656066834e-08
802,4.358918559432824e-08
803,2.6676520548107884e-08
804,3.9979262567158e-08
805,1.8768167464600083e-08
806,4.551176147060687e-08
807,2.587944081255955e-08
808,1.1948924338867073e-07
809,1.5450288515239668e-07
810,1.1541075650711718e-07
811,8.864551404030865e-08
812,3.139449233913183e-08
813,3.6739358222348535e-08
814,2.408685162436086e-08
815,2.199801230062804e-08
816,2.649420594025287e-07
817,1.503094324561971e-07
818,1.5620464921539678e-07
819,1.5039779555081625e-07
820,6.356427206810622e-08
821,9.804053746620413e-08
822,1.0462164112823302e-07
823,5.394198865360522e-08
824,2.198786717144685e-07
825,1.7834572929587017e-07
826,2.7129595991937094e-07
827,1.0599593736060345e-07
828,1.0729136334930445e-07
829,9.50932133036986e-08
830,8.834338416363607e-08
831,1.853943132346103e-08
832,2.210187233231409e-07
833,3.159892401072284e-07
834,1.560224660579479e-07
835,1.000305758225295e-07
836,4.5809091631099363e-08
837,4.169478984294983e-08
838,7.081402486619481e-08
839,3.328117514911355e-08
840,2.2704826108110865e-07
841,2.1628871138545946e-07
842,1.201771482328695e-07
843,1.0964764385335005e-07
844,1.2411112493282417e-07
845,6.585193546015945e-08
846,5.031779792830093e-08
847,4.113686102868997e-08
848,2.714295987971127e-07
849,2.1001437744416762e-07
850,1.7550804898291974e-07
851,5.97068918750665e-08
852,1.4123655489584053e-07
853,4.916647355912573e-08
854,1.1376716457789373e-08
855,1.4893750233113678e-08
856,4.467673306862707e-07
857,2.328220318759123e-07
858,1.4674080262011557e-07
859,1.192907603808635e-07
860,1.14385436233988e-07
861,7.081697361854823e-08
862,1.6280752745956306e-08
863,3.833752515447486e-08
864,2.308002393647257e-07
865,1.973191956494702e-07
866,1.5473395365006581e-07
867,1.235198965332529e-07
868,8.356428793376838e-08
869,6.420074072366333e-08
870,2.063744375391252e-08
871,1.4079252430576616e-08
872,7.937246238043373e-08
873,8.314455612890016e-08
874,1.0620851753628813e-07
875,7.04141385199364e-08
876,1.041093753428868e-07
877,7.527037837462559e-08
878,5.9006964647778666e-08
879,4.8522466045142216e-08
880,4.619810312078698e-08
881,3.4526870251738735e-08
882,3.0093659120211675e-08
883,2.222418515884783e-08
884,4.44876633309832e-08
885,3.594762176817312e-08
886,5.799645919069008e-08
887,6.916951633684222e-08
888,6.692169307598307e-08
889,4.254332353070822e-08
890,4.486138038828359e-08
891,8.086848168886719e-08
892,9.224898178672448e-08
893,3.89789001076224e-08
894,4.6086785943089126e-08
895,5.1182027505092265e-08
896,3.7476620917686894e-08
897,5.2782883841473456e-08
898,8.15955445432337e-08
899,5.7824109944704105e-08
900,2.1950882000965063e-08
901,3.7191242086009886e-08
902,3.991825536786564e-08
903,2.087815431650597e-08
904,5.7307232737002784e-08
905,7.78078117491532e-08
906,5.8298361693687184e-08
907,3.258987035792416e-08
908,2.7051520135046303e-08
909,2.553236910785017e-08
910,2.6887214232829137e-08
911,3.186840658031542e-08
912,5.3618833817381535e-08
913,1.824124353788648e-07
914,6.42212256707353e-08
915,5.388405099893134e-08
916,6.575934463626254e-08
917,4.6558700006471554e-08
918,4.224451188861168e-08
919,9.4205780953871e-08
920,5.967054050870503e-08
921,1.5393128194318709e-07
922,1.4440772133639257e-07
923,3.585624597235437e-08
924,2.18414939467948e-08
925,6.315327993888786e-08
926,1.4818298588181733e-08
927,2.331364434837724e-08
928,5.048818962904989e-08
929,1.906964719466941e-08
930,1.6773799416114349e-07
931,9.252325128272788e-08
932,4.138755826943452e-08
933,6.563989529695391e-08
934,3.639538803668074e-08
935,1.5694570976165778e-08
936,6.222789750154334e-08
937,2.6085631432692932e-08
938,4.878884851677867e-08
939,7.20676780474605e-08
940,7.524498357724951e-08
941,7.707953386670854e-08
942,2.6423760957072773e-08
943,1.908357916136083e-08
944,4.779736428872639e-08
945,9.177144022487482e-08
946,1.948661676465236e-08
947,7.733926565833826e-08
948,5.7821722521111984e-08
949,7.249660427532947e-08
950,4.77403681031774e-08
951,7.089939657589639e-08
952,2.8274456553845084e-08
953,3.122572067582041e-08
954,5.7020791643935815e-08
955,1.321230627127079e-07
956,1.083055778394737e-07
957,4.1441211351411766e-08
958,2.335346316328924e-08
959,8.49044425876855e-08
960,2.2727107307218843e-08
961,1.4757782551555465e-08
962,3.2421905160617825e-08
963,3.2741873212671635e-08
964,3.658815472817879e-08
965,3.262104542045563e-08
966,2.911367147362398e-08
967,1.0357786628389933e-08
968,7.288024050922105e-08
969,2.0549499879507493e-08
970,1.6645582689989172e-08
971,2.070079752058973e-08
972,1.4133552994621825e-08
973,3.8059749130070486e-08
974,3.3004667443492515e-08
975,1.4584016660990072e-08
976,4.6314212909237546e-08
977,3.985043406373735e-08
978,4.27681428050164e-08
979,3.0663880323800186e-08
980,3.259749803419254e-08
981,2.302292223532732e-08
982,2.1794509308392666e-08
983,1.1020922840998535e-08
984,8.528845540922705e-08
985,6.461819168634976e-08
986,4.372269302166387e-08
987,5.055352403360303e-08
988,6.290612475368107e-08
989,2.588032543826557e-08
990,1.982909658693188e-08
991,2.267977272651933e-08
992,9.11492676891612e-08
993,1.302214371889932e-07
994,1.2003387439563085e-07
995,4.816443066602005e-08
996,1.4899600664364245e-08
997,2.4768993966972643e-08
998,3.3024686985072555e-08
999,5.8200377850425866e-08
1000,2.598830519673357e-07
1001,2.849543818683742e-07
1002,1.1249998266293917e-07
1003,8.461323375286156e-08
1004,5.11059887742249e-08
1005,7.893156350746723e-08
1006,4.3430553375856113e-08
1007,7.370105947757112e-08
1008,4.707119956037786e-07
