Training Step,Bellman Error
0,0.1868739128112793
1,0.1221604198217392
2,0.0726508051156997
3,0.1064999103546142
4,0.0876077711582183
5,0.0661720484495163
6,0.0694405734539032
7,0.0745628625154495
8,0.0833471566438674
9,0.1006181314587593
10,0.1103870570659637
11,0.073754034936428
12,0.0687741488218307
13,0.0674560368061065
14,0.0505014806985855
15,0.0470272451639175
16,0.0935051143169403
17,0.0857588946819305
18,0.0713144987821579
19,0.063637837767601
20,0.0630009919404983
21,0.072758100926876
22,0.0595189556479454
23,0.0415292456746101
24,0.069626860320568
25,0.0544425696134567
26,0.0572511628270149
27,0.0616436339914798
28,0.0456632561981678
29,0.0463954098522663
30,0.0330012887716293
31,0.0413933619856834
32,0.0669530481100082
33,0.0695524215698242
34,0.062378205358982
35,0.0514980778098106
36,0.0425430312752723
37,0.0396271497011184
38,0.0416894666850566
39,0.0304366089403629
40,0.0866900235414505
41,0.0669650435447692
42,0.05496122315526
43,0.0554295219480991
44,0.0606797486543655
45,0.0689008384943008
46,0.051457330584526
47,0.0372168309986591
48,0.0936703383922576
49,0.0800637155771255
50,0.0736064240336418
51,0.0589804016053676
52,0.0680337399244308
53,0.051325686275959
54,0.0485142320394516
55,0.0299525894224643
56,0.0650623366236686
57,0.0588739588856697
58,0.0510217025876045
59,0.0747015699744224
60,0.0827193334698677
61,0.0700584203004837
62,0.0602892078459262
63,0.0554035007953643
64,0.0686332285404205
65,0.0822517722845077
66,0.0580398812890052
67,0.0618935078382492
68,0.0658936351537704
69,0.059064395725727
70,0.0495176538825035
71,0.0434147827327251
72,0.0538164675235748
73,0.0445873290300369
74,0.0332451537251472
75,0.0375840477645397
76,0.0466532856225967
77,0.0562570914626121
78,0.029934111982584
79,0.0356214120984077
80,0.0415390878915786
81,0.0478323549032211
82,0.043861836194992
83,0.0453956425189971
84,0.0341960713267326
85,0.0326169691979885
86,0.0365091077983379
87,0.0274872332811355
88,0.0300107896327972
89,0.0256729200482368
90,0.0463621392846107
91,0.0245560444891452
92,0.0190179757773876
93,0.0230681076645851
94,0.0272702369838953
95,0.0254446193575859
96,0.0235855970531702
97,0.0261402241885662
98,0.0143304830417037
99,0.0170431435108184
100,0.0171406827867031
101,0.0129819810390472
102,0.015628095716238
103,0.007730929646641
104,0.0101017821580171
105,0.0116847204044461
106,0.0106298308819532
107,0.0127777112647891
