Training Step,Bellman Error
0,0.1508532166481018
1,0.2302402108907699
2,0.2054374516010284
3,0.2112820148468017
4,0.156491994857788
5,0.2078289985656738
6,0.1307776123285293
7,0.1206506043672561
8,0.228344440460205
9,0.2482478618621826
10,0.2039005756378173
11,0.1541390120983123
12,0.0804380998015403
13,0.0769970566034317
14,0.1126335114240646
15,0.0737591832876205
16,0.2173693627119064
17,0.1624105721712112
18,0.1576144397258758
19,0.0824332982301712
20,0.1173296272754669
21,0.1211256757378578
22,0.0898633152246475
23,0.1118918806314468
24,0.1153609156608581
25,0.1993255466222763
26,0.1894413530826568
27,0.1242090016603469
28,0.1234206780791282
29,0.1589168757200241
30,0.0813396796584129
31,0.1307111084461212
32,0.2182035446166992
33,0.1211458966135978
34,0.128306433558464
35,0.0901307165622711
36,0.2491832971572876
37,0.1587560474872589
38,0.18112114071846
39,0.0535101220011711
40,0.2065505683422088
41,0.3015588521957397
42,0.1161053925752639
43,0.0880756452679634
44,0.2029636353254318
45,0.0837927609682083
46,0.1678886413574218
47,0.1323552429676056
48,0.2175854742527008
49,0.0925049930810928
50,0.1707840859889984
51,0.0525098443031311
52,0.1055494397878646
53,0.1023919060826301
54,0.0820201933383941
55,0.0846089273691177
56,0.0284455809742212
57,0.0281336642801761
58,0.0337049178779125
59,0.0643448457121849
60,0.0646428540349006
61,0.0612326189875602
62,0.0219819657504558
63,0.0862277522683143
64,0.0547474063932895
65,0.0510895624756813
66,0.0228837039321661
67,0.0257480144500732
68,0.0170446820557117
69,0.0375583171844482
70,0.0188126340508461
71,0.0164307877421379
72,0.0232270453125238
73,0.0187237486243248
74,0.0204661712050437
75,0.010080431587994
76,0.0131378574296832
77,0.013032903894782
78,0.0080782249569892
79,0.0075688241049647
80,0.0140415886417031
81,0.0221627466380596
82,0.012347737327218
83,0.01008908636868
84,0.0083354245871305
85,0.0076803951524198
86,0.0111917862668633
87,0.0101433116942644
88,0.0118352640420198
89,0.0094474218785762
90,0.0073466878384351
91,0.0086569041013717
92,0.0087095443159341
93,0.0060160323046147
94,0.0022514287848025
95,0.0058816233649849
96,0.0068287542089819
97,0.0050851441919803
98,0.0056412327103316
99,0.008580032736063
100,0.0072826663963496
101,0.0070303110405802
102,0.0092485947534441
103,0.0043827518820762
104,0.0061348024755716
105,0.0047155488282442
106,0.0040627713315188
107,0.0050932830199599
108,0.0046805297024548
109,0.0037148471456021
110,0.0031653300393372
111,0.0038734995760023
112,0.0051256418228149
