Testing Step,Q Loss
0,1.4428576231002808
1,1.4428576231002808
2,1.4428576231002808
3,1.4428576231002808
4,1.4428576231002808
5,1.4428576231002808
6,1.4428576231002808
7,1.4428576231002808
8,1.4428576231002808
9,1.4428576231002808
10,1.4428576231002808
11,1.4428576231002808
12,1.4428576231002808
13,1.4428576231002808
14,1.4428576231002808
15,1.4219126850366592
16,1.4019497483968737
17,1.3816212713718414
18,1.3616510033607483
19,1.3412068784236908
20,1.320222906768322
21,1.2989673912525177
22,1.2785221487283709
23,1.2578233405947683
24,1.2373097762465477
25,1.216993510723114
26,1.1962019577622414
27,1.174519568681717
28,1.1524838358163834
29,1.1297988295555117
30,1.1068050339818
31,1.0831331312656405
32,1.05910062789917
33,1.033939763903618
34,1.0080955028533936
35,0.9816199839115144
36,0.9542032182216644
37,0.9260475784540176
38,0.8973206728696823
39,0.8725386261940002
40,0.8473557755351067
41,0.8238365352153778
42,0.8027664124965668
43,0.7812144383788109
44,0.7580759897828102
45,0.7341415658593178
46,0.7109910920262337
47,0.6880077868700027
48,0.6666375249624252
49,0.6465316712856293
50,0.6257569566369057
51,0.6039743274450302
52,0.5818807184696198
53,0.561366930603981
54,0.5421435460448265
55,0.5255905091762543
56,0.5092203170061111
57,0.4941076636314392
58,0.4799244776368141
59,0.4685907661914825
60,0.4585588760674
61,0.4507434517145157
62,0.4434973411262035
63,0.4378867037594318
64,0.4321854598820209
65,0.4271163716912269
66,0.4231004007160663
67,0.4189466945827007
68,0.4198831655085087
69,0.421278528869152
70,0.426434051245451
71,0.4325238391757011
72,0.4364006668329239
73,0.4395538419485092
74,0.4423922225832939
75,0.4442162774503231
76,0.4445997513830662
77,0.4433887936174869
78,0.4407348744571209
79,0.4406816810369491
80,0.4440054483711719
81,0.447088360786438
82,0.4476953856647014
83,0.4474230334162712
84,0.448023222386837
85,0.4479438439011574
86,0.448396984487772
87,0.44754059612751
88,0.4452678672969341
89,0.4413978680968284
90,0.4361934289336204
91,0.4295692406594753
92,0.4227568954229355
93,0.4144603982567787
94,0.4079820439219475
95,0.3987892419099808
96,0.3894936516880989
97,0.3798604421317577
98,0.3714579641819
99,0.3644076958298683
100,0.3560225293040275
101,0.3484224826097488
102,0.3432671800255775
103,0.3358804583549499
104,0.325100690126419
105,0.3149449676275253
106,0.3054587841033935
107,0.2954428195953369
108,0.2860973924398422
109,0.2755807042121887
110,0.2653626278042793
111,0.2517515756189823
112,0.2358906641602516
113,0.2222015149891376
114,0.2090870216488838
115,0.2000511288642883
116,0.1927063688635826
117,0.1869799569249153
118,0.1815758794546127
119,0.175375085324049
120,0.1702769324183464
121,0.1663726530969143
122,0.1641322709619999
123,0.1625653691589832
124,0.1609548553824424
125,0.1597323156893253
126,0.159093540161848
127,0.1586805358529091
128,0.1583356969058513
129,0.1579599231481552
130,0.1571095697581768
131,0.1554917991161346
132,0.1537572555243969
133,0.151371818035841
134,0.1488689668476581
135,0.1457546651363372
136,0.1422068439424038
137,0.1383768580853939
138,0.1346418373286724
139,0.1313691213726997
140,0.1281343102455139
141,0.1254506669938564
142,0.123398408293724
143,0.1206013970077037
144,0.1177162304520607
145,0.1149583719670772
146,0.1120753772556781
147,0.1095205023884773
148,0.1071286797523498
149,0.105378583073616
150,0.1038603149354457
151,0.1019960977137088
152,0.1000995486974716
153,0.0984193235635757
154,0.0968473553657531
155,0.095353364944458
156,0.0943094007670879
157,0.093289878219366
158,0.0924232676625251
159,0.0915015116333961
160,0.0904711596667766
161,0.0893874168395996
162,0.0887123122811317
163,0.087905429303646
164,0.0870348401367664
165,0.0862777978181839
166,0.0853398628532886
167,0.0844608098268508
168,0.0836464054882526
169,0.0832764543592929
170,0.0829875338822603
171,0.0826915986835956
172,0.0821234248578548
173,0.0816445834934711
174,0.0810775645077228
175,0.080602353438735
176,0.0800206307321786
177,0.0793737918138504
178,0.0788280591368675
179,0.0782479271292686
180,0.0777684226632118
181,0.0772354193031787
182,0.0768135022372007
183,0.0764383301138877
184,0.075912982225418
185,0.0754787176847457
186,0.0751574300229549
187,0.0747474022209644
188,0.0742406249046325
189,0.0736954025924205
190,0.073170131072402
191,0.0727206319570541
192,0.0723968669772148
193,0.0721296221017837
194,0.07219148427248
195,0.0722601749002933
196,0.072050791233778
197,0.0717679876834154
198,0.0714435912668705
199,0.0710913799703121
200,0.0707864332944154
201,0.070402555167675
202,0.0702179074287414
203,0.0699539557099342
204,0.069695346057415
205,0.0694115590304136
206,0.0693113598972559
207,0.0691763684153556
208,0.0689370594918727
209,0.0687355324625969
210,0.0684220306575298
211,0.0681980904191732
212,0.0678229127079248
213,0.067435348406434
214,0.067180011421442
215,0.066989492624998
216,0.0666978172957897
217,0.0665400028228759
218,0.066392682492733
219,0.0662100426852703
220,0.0659193582832813
221,0.0656768791377544
222,0.0654028356075286
223,0.0650120694190263
224,0.0646443553268909
225,0.0642532017081976
226,0.0639747884124517
227,0.0637934152036905
228,0.0634660180658102
229,0.063101015985012
230,0.0628399401903152
231,0.0623856540769338
232,0.0620249807834625
233,0.0617862902581691
234,0.0615029484033584
235,0.0611466914415359
236,0.0608238242566585
237,0.060605552047491
238,0.0602958984673023
239,0.0600216276943683
240,0.0598366856575012
241,0.0599701236933469
242,0.0600589606910944
243,0.0602500066161155
244,0.0603110492229461
245,0.0604521818459034
246,0.0605518501251935
247,0.0605413056910038
248,0.0606196131557226
249,0.0607321448624134
250,0.0608889013528823
251,0.0610816422849893
252,0.0608260370790958
253,0.0605696532875299
254,0.0603415817022323
255,0.0600179564207792
256,0.0599015560001134
257,0.0597787518054246
258,0.0597765557467937
259,0.059583343565464
260,0.0593018271028995
261,0.0589932948350906
262,0.0586953796446323
263,0.0585821084678173
264,0.058545533567667
265,0.0584472864866256
266,0.058415051549673
267,0.0582978092133998
268,0.0580808818340301
269,0.0578534603118896
270,0.0575063358992338
271,0.0572667382657527
272,0.0569825954735279
273,0.0567615740001201
274,0.0564904380589723
275,0.0562867149710655
276,0.0559441465884447
277,0.055642694234848
278,0.0552796721458435
279,0.0550313722342252
280,0.0547388521954417
281,0.0544777698814868
282,0.0541179552674293
283,0.0538386171683669
284,0.0536710061132907
285,0.0535640474408865
286,0.0533216772601008
287,0.05308105237782
288,0.0527107575908303
289,0.0523163843899965
290,0.0522171771153807
291,0.0520349163562059
292,0.0518367765471339
293,0.0516887223348021
294,0.0514660943299531
295,0.0512336855754256
296,0.0510628316551446
297,0.0507227052003145
298,0.0505345109850168
299,0.0503732971847057
300,0.050191325135529
301,0.0501521909609437
302,0.0500871380791068
303,0.0500157866626977
304,0.0499650388956069
305,0.0498597593978047
306,0.0497915195301175
307,0.0495941899716854
